model,input,validation,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,roc_auc_mean,roc_auc_std
LogisticRegression,Bandpower features,Subject-independent 5-fold CV,0.615645342312009,0.04135902214075266,0.5846240179573513,0.08021222555591279,0.550349109529159,0.11162163721653023,0.5749084605318815,0.08162707976179207,0.5971398106265297,0.10578432785313914
RandomForest,Bandpower features,Subject-independent 5-fold CV,0.5940740740740741,0.07723791239071814,0.5795173961840628,0.09867244500324328,0.5666820190045607,0.10950507271344724,0.5809363503619853,0.09261486290285542,0.6279244622304854,0.14192108005635412
SimpleCNN,Raw EEG windows,"Subject-independent single split, threshold=0.5",0.6262626262626263,,0.547979797979798,,0.5010107835070646,,0.5510105110586799,,0.7423817297554671,
SimpleCNN tuned threshold,Raw EEG windows,"Subject-independent single split, threshold=0.35",0.6222222222222222,,0.537037037037037,,0.4720496894409938,,0.5283643892339545,,0.7423817297554671,
